2023-09-27 16:40:18 20 C, 68 F
2023-09-27 16:40:20 20 C, 68 F
2023-09-27 16:40:21 20 C, 68 F
2023-09-27 16:40:22 20 C, 68 F
2023-09-27 16:40:23 20 C, 68 F
2023-09-27 16:40:24 20 C, 68 F
2023-09-27 16:40:25 20 C, 68 F
2023-09-27 16:40:26 20 C, 68 F
2023-09-27 16:40:27 20 C, 68 F
2023-09-27 16:40:28 20 C, 68 F
2023-09-27 16:40:29 20 C, 68 F
2023-09-27 16:40:30 20 C, 68 F
2023-09-27 16:40:31 20 C, 68 F
2023-09-27 16:40:32 20 C, 68 F
2023-09-27 16:40:33 20 C, 68 F
2023-09-27 16:40:34 20 C, 68 F
2023-09-27 16:40:35 21 C, 69 F
2023-09-27 16:40:36 21 C, 69 F
2023-09-27 16:40:37 20 C, 68 F
2023-09-27 16:40:38 20 C, 68 F
2023-09-27 16:40:39 20 C, 68 F
2023-09-27 16:40:40 20 C, 68 F
2023-09-27 16:40:41 20 C, 68 F
2023-09-27 16:40:42 20 C, 68 F
2023-09-27 16:40:43 20 C, 68 F
2023-09-27 16:40:44 20 C, 68 F
2023-09-27 16:40:45 20 C, 68 F
2023-09-27 16:40:46 20 C, 68 F
2023-09-27 16:40:47 20 C, 68 F
2023-09-27 16:40:48 20 C, 68 F
2023-09-27 16:40:49 20 C, 68 F
2023-09-27 16:40:50 20 C, 68 F
2023-09-27 16:40:51 20 C, 68 F
2023-09-27 16:40:52 20 C, 68 F
2023-09-27 16:40:53 20 C, 68 F
2023-09-27 16:40:54 20 C, 68 F
2023-09-27 16:40:55 20 C, 68 F
2023-09-27 16:40:56 20 C, 68 F
2023-09-27 16:40:57 20 C, 68 F
2023-09-27 16:40:58 20 C, 68 F
2023-09-27 16:40:59 20 C, 68 F
2023-09-27 16:41:00 21 C, 69 F
2023-09-27 16:41:01 20 C, 68 F
2023-09-27 16:41:02 20 C, 68 F
2023-09-27 16:41:03 20 C, 68 F
2023-09-27 16:41:04 20 C, 68 F
2023-09-27 16:41:05 21 C, 69 F
2023-09-27 16:41:06 20 C, 68 F
2023-09-27 16:41:07 20 C, 68 F
2023-09-27 16:41:08 20 C, 68 F
2023-09-27 16:41:09 20 C, 68 F
2023-09-27 16:41:10 20 C, 68 F
2023-09-27 16:41:11 20 C, 68 F
2023-09-27 16:41:12 20 C, 68 F
2023-09-27 16:41:13 20 C, 68 F
2023-09-27 16:41:14 20 C, 68 F
2023-09-27 16:41:15 21 C, 69 F
2023-09-27 16:41:16 20 C, 68 F
2023-09-27 16:41:17 20 C, 68 F
2023-09-27 16:41:18 20 C, 68 F
2023-09-27 16:41:19 20 C, 68 F
2023-09-27 16:41:20 20 C, 68 F
2023-09-27 16:41:21 20 C, 68 F
2023-09-27 16:41:22 20 C, 68 F
2023-09-27 16:41:23 20 C, 68 F
2023-09-27 16:41:24 21 C, 69 F
2023-09-27 16:41:25 21 C, 69 F
2023-09-27 16:41:26 20 C, 68 F
2023-09-27 16:41:27 20 C, 68 F
2023-09-27 16:41:28 20 C, 68 F
2023-09-27 16:41:29 20 C, 68 F
2023-09-27 16:41:30 20 C, 68 F
2023-09-27 16:41:31 20 C, 68 F
2023-09-27 16:41:32 20 C, 68 F
2023-09-27 16:41:33 20 C, 68 F
2023-09-27 16:41:34 20 C, 68 F
2023-09-27 16:41:35 20 C, 68 F
2023-09-27 16:41:36 20 C, 68 F
2023-09-27 16:41:37 21 C, 69 F
2023-09-27 16:41:38 20 C, 68 F
2023-09-27 16:41:39 20 C, 68 F
2023-09-27 16:41:40 20 C, 68 F
2023-09-27 16:41:41 20 C, 68 F
2023-09-27 16:41:42 20 C, 68 F
2023-09-27 16:41:43 20 C, 68 F
2023-09-27 16:41:44 20 C, 68 F
2023-09-27 16:41:45 21 C, 69 F
2023-09-27 16:41:46 21 C, 69 F
2023-09-27 16:41:47 21 C, 69 F
2023-09-27 16:41:48 21 C, 69 F
2023-09-27 16:41:49 20 C, 68 F
2023-09-27 16:41:50 20 C, 68 F
2023-09-27 16:41:51 20 C, 68 F
2023-09-27 16:41:52 20 C, 68 F
2023-09-27 16:41:53 20 C, 68 F
2023-09-27 16:41:54 20 C, 68 F
2023-09-27 16:41:55 20 C, 68 F
2023-09-27 16:41:56 20 C, 68 F
2023-09-27 16:41:57 20 C, 68 F
2023-09-27 16:41:58 20 C, 68 F
2023-09-27 16:41:59 20 C, 68 F
2023-09-27 16:42:00 20 C, 68 F
2023-09-27 16:42:01 20 C, 68 F
2023-09-27 16:42:02 20 C, 68 F
2023-09-27 16:42:03 20 C, 68 F
2023-09-27 16:42:04 20 C, 68 F
2023-09-27 16:42:05 20 C, 68 F
2023-09-27 16:42:06 20 C, 68 F
2023-09-27 16:42:07 20 C, 68 F
2023-09-27 16:42:08 21 C, 69 F
2023-09-27 16:42:09 21 C, 69 F
2023-09-27 16:42:10 20 C, 68 F
2023-09-27 16:42:11 21 C, 69 F
2023-09-27 16:42:12 21 C, 69 F
2023-09-27 16:42:13 20 C, 68 F
2023-09-27 16:42:14 20 C, 68 F
2023-09-27 16:42:15 20 C, 68 F
2023-09-27 16:42:16 20 C, 68 F
2023-09-27 16:42:17 20 C, 68 F
2023-09-27 16:42:18 20 C, 68 F
2023-09-27 16:42:19 20 C, 68 F
2023-09-27 16:42:20 20 C, 68 F
2023-09-27 16:42:21 20 C, 68 F
2023-09-27 16:42:22 20 C, 68 F
2023-09-27 16:42:23 20 C, 68 F
2023-09-27 16:42:24 21 C, 69 F
2023-09-27 16:42:25 20 C, 68 F
2023-09-27 16:42:26 20 C, 68 F
2023-09-27 16:42:27 20 C, 68 F
2023-09-27 16:42:28 20 C, 68 F
2023-09-27 16:42:29 20 C, 68 F
2023-09-27 16:42:30 20 C, 68 F
2023-09-27 16:42:31 21 C, 69 F
2023-09-27 16:42:32 21 C, 69 F
2023-09-27 16:42:33 20 C, 68 F
2023-09-27 16:42:34 21 C, 69 F
2023-09-27 16:42:35 20 C, 68 F
2023-09-27 16:42:36 20 C, 68 F
2023-09-27 16:42:37 20 C, 68 F
2023-09-27 16:42:38 20 C, 68 F
2023-09-27 16:42:39 20 C, 68 F
2023-09-27 16:42:40 20 C, 68 F
2023-09-27 16:42:41 20 C, 68 F
2023-09-27 16:42:42 20 C, 68 F
2023-09-27 16:42:43 20 C, 68 F
2023-09-27 16:42:44 20 C, 68 F
2023-09-27 16:42:45 20 C, 68 F
2023-09-27 16:42:46 20 C, 68 F
2023-09-27 16:42:47 20 C, 68 F
2023-09-27 16:42:48 20 C, 68 F
2023-09-27 16:42:49 20 C, 68 F
2023-09-27 16:42:50 20 C, 68 F
2023-09-27 16:42:51 21 C, 69 F
2023-09-27 16:42:52 21 C, 69 F
2023-09-27 16:42:53 20 C, 68 F
2023-09-27 16:42:54 20 C, 68 F
2023-09-27 16:42:55 20 C, 68 F
2023-09-27 16:42:56 21 C, 69 F
2023-09-27 16:42:57 21 C, 69 F
2023-09-27 16:42:58 21 C, 69 F
2023-09-27 16:42:59 20 C, 68 F
2023-09-27 16:43:00 20 C, 68 F
2023-09-27 16:43:01 20 C, 68 F
2023-09-27 16:43:02 20 C, 68 F
2023-09-27 16:43:03 20 C, 68 F
2023-09-27 16:43:04 20 C, 68 F
2023-09-27 16:43:05 20 C, 68 F
